,,,"Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%)"
"Country","Year","Age Group","Both sexes","Male","Female","Both sexes","Male","Female"
"Hungary","2016","18+  years","38.5 [30.9-46.8]","33.1 [26.4-40.6]","43.3 [34.8-52.2]","40.6 [32.8-48.9]","34.5 [27.7-42.1]","45.9 [37.3-54.8]"
"Iceland","2016","18+  years","No data","No data","No data","No data","No data","No data"
"India","2016","18+  years","34.0 [22.3-47.7]","24.7 [15.8-36.3]","43.9 [29.2-59.7]","33.3 [21.8-46.9]","23.8 [15.1-35.2]","43.5 [28.8-59.3]"
"Indonesia","2016","18+  years","22.6 [16.0-30.9]","23.5 [16.9-31.6]","21.7 [15.0-30.2]","21.5 [15.2-29.7]","22.1 [15.8-30.0]","20.9 [14.5-29.3]"
"Iran (Islamic Republic of)","2016","18+  years","33.2 [25.9-41.4]","23.1 [17.4-29.8]","43.4 [34.3-52.9]","32.0 [24.8-40.1]","21.8 [16.4-28.4]","42.2 [33.3-51.7]"
"Iraq","2016","18+  years","52.0 [44.1-59.8]","39.5 [32.2-47.2]","64.6 [55.8-72.4]","50.5 [42.5-58.3]","37.3 [30.2-44.9]","63.6 [54.8-71.6]"
"Ireland","2016","18+  years","32.7 [26.5-39.5]","28.3 [23.0-34.2]","37.1 [30.1-44.7]","34.3 [28.0-41.2]","29.7 [24.2-35.8]","38.8 [31.7-46.5]"
"Israel","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Italy","2016","18+  years","41.4 [34.3-48.8]","36.2 [29.9-42.9]","46.2 [38.4-54.2]","44.8 [37.6-52.2]","39.3 [32.8-46.2]","49.9 [42.1-57.8]"
"Jamaica","2016","18+  years","32.6 [25.2-40.8]","28.4 [21.9-35.9]","36.6 [28.5-45.6]","32.8 [25.4-41.1]","28.3 [21.8-35.9]","37.1 [28.9-46.1]"
"Japan","2016","18+  years","35.5 [20.5-53.8]","33.8 [20.1-50.9]","37.0 [21.0-56.5]","38.1 [22.5-56.5]","36.2 [21.8-53.5]","39.8 [23.1-59.2]"
"Jordan","2016","18+  years","11.9 [8.4-16.4]","10.3 [7.4-14.2]","13.5 [9.5-18.8]","11.3 [8.0-15.6]","9.7 [6.9-13.4]","12.9 [9.1-18.0]"
"Kazakhstan","2016","18+  years","27.5 [19.8-36.8]","26.1 [19.2-34.4]","28.7 [20.4-38.9]","26.9 [19.3-36.0]","24.8 [18.1-32.9]","28.7 [20.4-38.8]"
